Match Name,Team,Outcome,Team A,Team B,Team A Pistol Winrate vs B,Team B Pistol Winrate vs A,Team A Pistol Winrate,Team B Pistol Winrate,Team A K/D Ratio,Team A Average Damage,Team A Average Combat Score,Team A Average First Kills,Team A Average First Deaths Per Round,Team B K/D Ratio,Team B Average Damage,Team B Average Combat Score,Team B Average First Kills,Team B Average First Deaths Per Round
Apeks vs Natus Vincere,Natus Vincere,0,Apeks,Natus Vincere,33.33333333333333,66.66666666666666,35.294117647058826,46.15384615384615,0.88,121.8,184.96,4.83,0.11,1.04,126.17,189.95,5.06,0.1
Apeks vs Natus Vincere,Apeks,0,Apeks,Natus Vincere,33.33333333333333,66.66666666666666,35.294117647058826,46.15384615384615,0.88,121.8,184.96,4.83,0.11,1.04,126.17,189.95,5.06,0.1
Apeks vs Natus Vincere,Natus Vincere,1,Apeks,Natus Vincere,33.33333333333333,66.66666666666666,35.294117647058826,46.15384615384615,0.88,121.8,184.96,4.83,0.11,1.04,126.17,189.95,5.06,0.1
FUT Esports vs Gentle Mates,FUT Esports,0,FUT Esports,Gentle Mates,66.66666666666666,33.33333333333333,55.55555555555556,43.47826086956522,1.0,126.64,193.14,5.11,0.1,0.94,120.8,183.23,4.73,0.11
FUT Esports vs Gentle Mates,Gentle Mates,1,FUT Esports,Gentle Mates,66.66666666666666,33.33333333333333,55.55555555555556,43.47826086956522,1.0,126.64,193.14,5.11,0.1,0.94,120.8,183.23,4.73,0.11
FUT Esports vs Gentle Mates,FUT Esports,1,FUT Esports,Gentle Mates,66.66666666666666,33.33333333333333,55.55555555555556,43.47826086956522,1.0,126.64,193.14,5.11,0.1,0.94,120.8,183.23,4.73,0.11
FUT Esports vs Gentle Mates,Gentle Mates,0,FUT Esports,Gentle Mates,66.66666666666666,33.33333333333333,55.55555555555556,43.47826086956522,1.0,126.64,193.14,5.11,0.1,0.94,120.8,183.23,4.73,0.11
FUT Esports vs Gentle Mates,FUT Esports,1,FUT Esports,Gentle Mates,66.66666666666666,33.33333333333333,55.55555555555556,43.47826086956522,1.0,126.64,193.14,5.11,0.1,0.94,120.8,183.23,4.73,0.11
FUT Esports vs Gentle Mates,Gentle Mates,0,FUT Esports,Gentle Mates,66.66666666666666,33.33333333333333,55.55555555555556,43.47826086956522,1.0,126.64,193.14,5.11,0.1,0.94,120.8,183.23,4.73,0.11
Team Heretics vs GIANTX,Team Heretics,1,Team Heretics,GIANTX,100.0,0.0,56.25,14.285714285714285,1.08,130.87,198.26,5.65,0.09,0.9,123.5,186.22,4.5,0.12
Team Heretics vs GIANTX,GIANTX,0,Team Heretics,GIANTX,100.0,0.0,56.25,14.285714285714285,1.08,130.87,198.26,5.65,0.09,0.9,123.5,186.22,4.5,0.12
Team Heretics vs GIANTX,Team Heretics,1,Team Heretics,GIANTX,100.0,0.0,56.25,14.285714285714285,1.08,130.87,198.26,5.65,0.09,0.9,123.5,186.22,4.5,0.12
Team Heretics vs GIANTX,GIANTX,0,Team Heretics,GIANTX,100.0,0.0,56.25,14.285714285714285,1.08,130.87,198.26,5.65,0.09,0.9,123.5,186.22,4.5,0.12
Team Heretics vs GIANTX,Team Heretics,1,Team Heretics,GIANTX,100.0,0.0,56.25,14.285714285714285,1.08,130.87,198.26,5.65,0.09,0.9,123.5,186.22,4.5,0.12
Team Heretics vs GIANTX,GIANTX,0,Team Heretics,GIANTX,100.0,0.0,56.25,14.285714285714285,1.08,130.87,198.26,5.65,0.09,0.9,123.5,186.22,4.5,0.12
Team Vitality vs FNATIC,Team Vitality,0,Team Vitality,FNATIC,66.66666666666666,33.33333333333333,62.857142857142854,59.375,1.03,127.68,197.07,5.18,0.11,1.17,136.31,206.56,6.26,0.1
Team Vitality vs FNATIC,FNATIC,1,Team Vitality,FNATIC,66.66666666666666,33.33333333333333,62.857142857142854,59.375,1.03,127.68,197.07,5.18,0.11,1.17,136.31,206.56,6.26,0.1
Team Vitality vs FNATIC,Team Vitality,1,Team Vitality,FNATIC,66.66666666666666,33.33333333333333,62.857142857142854,59.375,1.03,127.68,197.07,5.18,0.11,1.17,136.31,206.56,6.26,0.1
Team Vitality vs FNATIC,FNATIC,0,Team Vitality,FNATIC,66.66666666666666,33.33333333333333,62.857142857142854,59.375,1.03,127.68,197.07,5.18,0.11,1.17,136.31,206.56,6.26,0.1
Team Vitality vs FNATIC,Team Vitality,1,Team Vitality,FNATIC,66.66666666666666,33.33333333333333,62.857142857142854,59.375,1.03,127.68,197.07,5.18,0.11,1.17,136.31,206.56,6.26,0.1
Team Vitality vs FNATIC,FNATIC,0,Team Vitality,FNATIC,66.66666666666666,33.33333333333333,62.857142857142854,59.375,1.03,127.68,197.07,5.18,0.11,1.17,136.31,206.56,6.26,0.1
KOI vs Karmine Corp,KOI,1,KOI,Karmine Corp,100.0,0.0,52.94117647058824,50.0,0.89,121.3,182.35,4.37,0.11,1.16,128.38,194.6,5.14,0.11
KOI vs Karmine Corp,Karmine Corp,0,KOI,Karmine Corp,100.0,0.0,52.94117647058824,50.0,0.89,121.3,182.35,4.37,0.11,1.16,128.38,194.6,5.14,0.11
KOI vs Karmine Corp,KOI,1,KOI,Karmine Corp,100.0,0.0,52.94117647058824,50.0,0.89,121.3,182.35,4.37,0.11,1.16,128.38,194.6,5.14,0.11
KOI vs Karmine Corp,Karmine Corp,0,KOI,Karmine Corp,100.0,0.0,52.94117647058824,50.0,0.89,121.3,182.35,4.37,0.11,1.16,128.38,194.6,5.14,0.11
